str_id,numatom,energy,finalspacegroup,E-Emin,E_form_fu
POSCAR_24_atoms_24_65,24,-9.385721660833333,8,0.3781793166666674,0.7653900116666676
POSCAR_24_atoms_24_934,24,-9.383901126666666,1,0.3799998508333342,0.7690310800000013
POSCAR_24_atoms_24_109,24,-9.383006444583334,1,0.3808945329166669,0.7708204441666666
POSCAR_24_atoms_24_220,24,-9.3828419625,1,0.381059015,0.7711494083333328
POSCAR_24_atoms_24_984,24,-9.381071067083333,6,0.3828299104166675,0.7746911991666678
POSCAR_24_atoms_24_1064,24,-9.380320179583334,1,0.3835807979166663,0.7761929741666656
POSCAR_24_atoms_24_733,24,-9.375105767916667,1,0.3887952095833338,0.7866217975000005
POSCAR_24_atoms_24_928,24,-9.374874752083334,1,0.3890262254166661,0.7870838291666651
POSCAR_24_atoms_24_936,24,-9.374754929583334,1,0.3891460479166664,0.7873234741666657
POSCAR_24_atoms_24_389,24,-9.37413038,1,0.3897705975000001,0.7885725733333331
POSCAR_24_atoms_24_1190,24,-9.372954017916667,1,0.3909469595833333,0.7909252974999994
POSCAR_24_atoms_24_1076,24,-9.372694795833334,1,0.3912061816666661,0.7914437416666651
POSCAR_24_atoms_24_1120,24,-9.372541781666667,1,0.3913591958333331,0.7917497699999991
POSCAR_24_atoms_24_788,24,-9.37162591875,1,0.3922750587500001,0.7935814958333332
POSCAR_24_atoms_24_1085,24,-9.371113102916668,1,0.3927878745833322,0.7946071274999973
POSCAR_24_atoms_24_42,24,-9.371097491666667,1,0.39280348583333335,0.7946383499999996
POSCAR_24_atoms_24_248,24,-9.369956807916667,1,0.3939441695833335,0.7969197174999998
POSCAR_24_atoms_24_694,24,-9.369861807916667,1,0.3940391695833334,0.7971097174999997
POSCAR_24_atoms_24_61,24,-9.369108856666667,1,0.39479212083333337,0.7986156199999996
POSCAR_24_atoms_24_836,24,-9.368491803333333,1,0.3954091741666677,0.7998497266666682
POSCAR_24_atoms_24_743,24,-9.368316828333333,1,0.39558414916666784,0.8001996766666686
POSCAR_24_atoms_24_420,24,-9.366205991666666,1,0.3976949858333345,0.8044213500000019
POSCAR_24_atoms_24_926,24,-9.365942182916667,1,0.3979587945833334,0.8049489674999997
POSCAR_24_atoms_24_725,24,-9.36497354,1,0.3989274375000012,0.8068862533333352
POSCAR_24_atoms_24_102,24,-9.3621446275,1,0.4017563500000012,0.8125440783333353
POSCAR_24_atoms_24_1130,24,-9.361003317916667,1,0.4028976595833331,0.8148266974999991
POSCAR_24_atoms_24_764,24,-9.36063238,1,0.4032685975000003,0.8155685733333335
POSCAR_24_atoms_24_824,24,-9.358788846666666,1,0.4051121308333343,0.8192556400000015
POSCAR_24_atoms_24_489,24,-9.358334875,1,0.4055661024999999,0.8201635833333327
POSCAR_24_atoms_24_1174,24,-9.35830516375,1,0.40559581375000064,0.8202230058333342
POSCAR_24_atoms_24_338,24,-9.357862700833332,1,0.4060382766666688,0.8211079316666705
POSCAR_24_atoms_24_980,24,-9.35722700875,1,0.4066739687500007,0.8223793158333343
POSCAR_24_atoms_24_592,24,-9.35632674375,1,0.40757423375000107,0.8241798458333349
POSCAR_24_atoms_24_11,24,-9.35615414125,1,0.4077468362500003,0.8245250508333335
POSCAR_24_atoms_24_150,24,-9.3558464225,1,0.4080545549999997,0.8251404883333322
POSCAR_24_atoms_24_879,24,-9.354285618333334,1,0.4096153591666667,0.8282620966666663
POSCAR_24_atoms_24_332,24,-9.3540534075,1,0.40984757000000016,0.8287265183333332
POSCAR_24_atoms_24_45,24,-9.3538597175,1,0.4100412599999999,0.8291138983333326
POSCAR_24_atoms_24_388,24,-9.353464655833333,1,0.4104363216666673,0.8299040216666675
POSCAR_24_atoms_24_875,24,-9.353409014166667,8,0.4104919633333335,0.8300153049999999
POSCAR_24_atoms_24_730,24,-9.35334177,1,0.4105592075000004,0.8301497933333337
POSCAR_24_atoms_24_709,24,-9.352757880416666,1,0.4111430970833343,0.8313175725000015
POSCAR_24_atoms_24_878,24,-9.35253483625,1,0.4113661412500012,0.8317636608333352
POSCAR_24_atoms_24_166,24,-9.352366292083332,1,0.4115346854166688,0.8321007491666705
POSCAR_24_atoms_24_47,24,-9.352318439583334,1,0.4115825379166669,0.8321964541666667
POSCAR_24_atoms_24_804,24,-9.352271464166668,1,0.4116295133333328,0.8322904049999984
POSCAR_24_atoms_24_1145,24,-9.349531112916667,1,0.4143698645833336,0.8377711075000001
POSCAR_24_atoms_24_1039,24,-9.349071799166667,1,0.4148291783333331,0.8386897349999991
POSCAR_24_atoms_24_1053,24,-9.348460950833333,1,0.41544002666666735,0.8399114316666676
POSCAR_24_atoms_24_167,24,-9.346465713333332,1,0.4174352641666683,0.8439019066666695
POSCAR_24_atoms_24_967,24,-9.346192944166667,1,0.4177080333333336,0.8444474450000001
POSCAR_24_atoms_24_1084,24,-9.3452458075,1,0.41865517000000096,0.8463417183333348
POSCAR_24_atoms_24_1107,24,-9.344199907083334,1,0.41970107041666616,0.8484335191666652
POSCAR_24_atoms_24_200,24,-9.343623047083334,1,0.4202779304166668,0.8495872391666666
POSCAR_24_atoms_24_336,24,-9.343587071666667,1,0.4203139058333337,0.8496591900000006
POSCAR_24_atoms_24_794,24,-9.341529348333333,1,0.4223716291666673,0.8537746366666674
POSCAR_24_atoms_24_13,24,-9.340374190833334,1,0.4235267866666668,0.8560849516666664
POSCAR_24_atoms_24_267,24,-9.3397137475,1,0.4241872300000011,0.8574058383333352
POSCAR_24_atoms_24_240,24,-9.339437989166667,1,0.4244629883333335,0.8579573549999999
POSCAR_24_atoms_24_596,24,-9.3387928375,1,0.4251081400000008,0.8592476583333344
POSCAR_24_atoms_24_1118,24,-9.338522115,1,0.42537886250000057,0.859789103333334
POSCAR_24_atoms_24_50,24,-9.33674844375,1,0.4271525337500002,0.8633364458333332
POSCAR_24_atoms_24_499,24,-9.3356048875,1,0.4282960899999999,0.8656235583333327
POSCAR_24_atoms_24_255,24,-9.334897810833334,1,0.4290031666666661,0.867037711666665
POSCAR_24_atoms_24_1141,24,-9.33412681375,1,0.4297741637500003,0.8685797058333335
POSCAR_24_atoms_24_272,24,-9.333796234166668,1,0.4301047433333327,0.8692408649999983
POSCAR_24_atoms_24_72,24,-9.3309348125,1,0.4329661649999999,0.8749637083333326
POSCAR_24_atoms_24_422,24,-9.330680404583333,1,0.4332205729166674,0.8754725241666677
POSCAR_24_atoms_24_71,24,-9.330183640416667,1,0.4337173370833334,0.8764660524999996
POSCAR_24_atoms_24_798,24,-9.329609002083332,1,0.4342919754166683,0.8776153291666695
POSCAR_24_atoms_24_1045,24,-9.32953932125,1,0.43436165625000106,0.8777546908333349
POSCAR_24_atoms_24_1194,24,-9.32932546375,1,0.43457551375000136,0.8781824058333356
POSCAR_24_atoms_24_558,24,-9.328958454583333,1,0.4349425229166677,0.8789164241666683
POSCAR_24_atoms_24_599,24,-9.328346310416666,1,0.4355546670833341,0.8801407125000011
POSCAR_24_atoms_24_901,24,-9.32820602,1,0.4356949575000009,0.8804212933333346
POSCAR_24_atoms_24_331,24,-9.32805402625,1,0.4358469512500012,0.8807252808333352
POSCAR_24_atoms_24_206,24,-9.327655700833336,1,0.4362452766666641,0.8815219316666614
POSCAR_24_atoms_24_32,24,-9.327075756666668,1,0.4368252208333328,0.8826818199999984
POSCAR_24_atoms_24_16,24,-9.326375842083333,1,0.4375251354166672,0.8840816491666672
POSCAR_24_atoms_24_1166,24,-9.32536842625,1,0.4385325512500007,0.8860964808333343
POSCAR_24_atoms_24_993,24,-9.325122572916667,1,0.4387784045833332,0.8865881874999992
POSCAR_24_atoms_24_795,24,-9.324639440833334,1,0.4392615366666668,0.8875544516666665
POSCAR_24_atoms_24_163,24,-9.324025562916667,1,0.4398754145833337,0.8887822075000003
POSCAR_24_atoms_24_429,24,-9.32382836,1,0.44007261750000026,0.8891766133333334
POSCAR_24_atoms_24_1090,24,-9.3220078625,1,0.44189311500000095,0.8928176083333348
POSCAR_24_atoms_24_1037,24,-9.32065567625,6,0.44324530125000017,0.8955219808333332
POSCAR_24_atoms_24_963,24,-9.320566484166667,1,0.4433344933333334,0.8957003649999997
POSCAR_24_atoms_24_920,24,-9.32025238,6,0.4436485975000011,0.896328573333335
POSCAR_24_atoms_24_458,24,-9.319609515,1,0.4442914625000007,0.8976143033333344
POSCAR_24_atoms_24_104,24,-9.319394909583332,1,0.4445060679166684,0.8980435141666696
POSCAR_24_atoms_24_149,24,-9.319279487083334,1,0.4446214904166671,0.8982743591666669
POSCAR_24_atoms_24_43,24,-9.317425862916666,1,0.4464751145833343,0.9019816075000016
POSCAR_24_atoms_24_106,24,-9.316837209166666,1,0.4470637683333347,0.9031589150000023
POSCAR_24_atoms_24_308,24,-9.316769197083334,1,0.4471317804166671,0.9032949391666669
POSCAR_24_atoms_24_869,24,-9.315452490416666,1,0.4484484870833345,0.9059283525000019
POSCAR_24_atoms_24_276,24,-9.31535994875,1,0.4485410287500001,0.9061134358333334
POSCAR_24_atoms_24_569,24,-9.314288696666667,1,0.4496122808333336,0.9082559400000001
POSCAR_24_atoms_24_218,24,-9.314138774166667,1,0.4497622033333339,0.9085557850000008
POSCAR_24_atoms_24_99,24,-9.314136773333333,1,0.4497642041666676,0.9085597866666681
POSCAR_24_atoms_24_796,24,-9.31387867,1,0.4500223075000012,0.9090759933333352
POSCAR_24_atoms_24_1081,24,-9.313503322083333,8,0.4503976554166673,0.9098266891666675
POSCAR_24_atoms_24_1049,24,-9.313490510416667,1,0.4504104670833336,0.9098523125
POSCAR_24_atoms_24_405,24,-9.312732987916666,1,0.4511679895833343,0.9113673575000014
POSCAR_24_atoms_24_460,24,-9.311601728333333,1,0.4522992491666678,0.9136298766666684
POSCAR_24_atoms_24_954,24,-9.311496390833334,1,0.4524045866666668,0.9138405516666666
POSCAR_24_atoms_24_923,24,-9.311117480833332,1,0.4527834966666688,0.9145983716666706
POSCAR_24_atoms_24_607,24,-9.310988984583334,1,0.4529119929166665,0.9148553641666659
POSCAR_24_atoms_24_555,24,-9.310744564166667,1,0.4531564133333337,0.9153442050000002
POSCAR_24_atoms_24_1087,24,-9.310417084166668,1,0.4534838933333329,0.9159991649999988
POSCAR_24_atoms_24_867,24,-9.310242722083332,8,0.4536582554166682,0.9163478891666692
POSCAR_24_atoms_24_353,24,-9.309467366666668,1,0.4544336108333322,0.9178985999999973
POSCAR_24_atoms_24_820,24,-9.307406995833334,1,0.4564939816666662,0.9220193416666653
POSCAR_24_atoms_24_515,24,-9.30721895625,1,0.4566820212499998,0.9223954208333325
